Project;n;Original project;Original language(s);Domain;Label correct;Match correct;Email?;SonarQube;RCA support;Same as original owner;Owner type;Archived;Original archived;Stars;Original stars;Forks;Original forks;Project size;Original project size;Rust percentage
nautechsystems/nautilus_trader;;Same;Cython;App;y;;y;y;y;TRUE;Organization;FALSE;;21723;;2613;;52130425;;64,2
gschup/ggrs;;pond3r/ggpo;C++;System;y;y;y;y,y;y;FALSE;User;FALSE;FALSE;640;3486;32;396;248936;249780;100,0
eraserhd/parinfer-rust;;parinfer/parinfer.js;JavaScript;Tool;y;y;y;y,y;y;FALSE;User;FALSE;FALSE;615;1798;50;42;185026;87215;73,6
ixy-languages/ixy.rs;;emmericp/ixy;C;System;y;n;y;y,y;y;FALSE;Organization;FALSE;FALSE;316;1290;37;139;442127;271228;99,9
BitBoxSwiss/bitbox02-firmware;;Same;C;System;y;;y;i;y;TRUE;Organization;FALSE;;349;;127;;8025432;;26,7
libjxl/jxl-rs;;libjxl/libjxl;C++;Non-web lib;y;y;y;y,i;y;TRUE;Organization;FALSE;FALSE;528;3436;36;352;2308240;5885287;98,3
apache/arrow-rs;;apache/arrow;C++;System;n;n;y;i,y;y;TRUE;Organization;FALSE;FALSE;3425;16643;1140;4071;15798256;45165986;99,6
numaproj/numaflow;;Same;Go;System;y;;y;y;y;TRUE;Organization;FALSE;;2446;;151;;6733234;;57,6
amir20/dtop;;Same;Go;App;y;;y;y;y;TRUE;User;FALSE;;1008;;26;;289386;;95,7
NixOS/nixos-search;;Same;Python;App;y;;y;y;y;TRUE;Organization;FALSE;;538;;150;;302594;;31,9
OISF/suricata;;Same;C;System;y;;y;y;y;TRUE;Organization;FALSE;;6116;;1678;;19570385;;24,0
pubky/pkarr;;Same;JavaScript;Non-web lib;y;;y;y;y;TRUE;Organization;FALSE;;392;;39;;360824;;79,6
Pometry/Raphtory;;Same;Java,Scala;System;y;;y;;;TRUE;Organization;FALSE;;600;;66;;7558965;;74,7
abenz1267/walker;;Same;Go;App;y;;y;;;TRUE;User;FALSE;;2695;;96;;225667;;91,1
al8n/stretto;;dgraph-io/ristretto;Go;Non-web lib;y;n;y;;;FALSE;User;FALSE;FALSE;430;6851;28;435;161854;247210;97,5
alvr-org/ALVR;;polygraphene/ALVR;JavaScript,C,C++;App;y;;y;;;FALSE;Organization;FALSE;TRUE;7504;1840;640;242;1781787;3572398;67,5
amethyst/bracket-lib;;thebracket/rltk;C++;Non-web lib;y;y;y;;;FALSE;Organization;FALSE;FALSE;1665;340;126;21;1392917;215186;99,3
ankitects/anki;;Same;Python;App;y;;y;;;TRUE;Organization;FALSE;;27305;;2892;;5495844;;46,2
arrowpc/palettum;;Same;C++;App;y;;;;;TRUE;User;FALSE;;471;;4;;585545;;47,8
arxanas/git-branchless;;Same;Python;Tool;y;;y;;;TRUE;User;FALSE;;4041;;110;;2167258;;99,8
